epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9167,1.52989,1.94006,1.52049,0.60022,0.59428,0.58008,0.29707,1.54923,1.48742,1.4908,0.0006661,0.0006661,0.0006661
2,85.1267,1.57989,1.74179,1.5713,0.66156,0.51561,0.59958,0.316,1.51682,1.59349,1.50964,0.00126679,0.00126679,0.00126679
3,125.183,1.55804,1.63866,1.54853,0.70843,0.625,0.69087,0.37449,1.47526,1.31638,1.46535,0.00180149,0.00180149,0.00180149
4,166.022,1.53181,1.5863,1.53514,0.77033,0.64619,0.7323,0.40544,1.48755,1.15677,1.43403,0.001703,0.001703,0.001703
5,206.069,1.46874,1.49175,1.48294,0.78691,0.64157,0.74283,0.43306,1.41282,1.13944,1.39432,0.001604,0.001604,0.001604
6,246.368,1.43157,1.42215,1.4612,0.80982,0.67691,0.75983,0.45066,1.35562,1.12113,1.37611,0.001505,0.001505,0.001505
7,286.381,1.38149,1.33548,1.42526,0.83477,0.69703,0.80724,0.48619,1.31462,1.03613,1.34719,0.001406,0.001406,0.001406
8,326.7,1.35786,1.29352,1.41067,0.81287,0.74364,0.80857,0.49172,1.30139,0.9633,1.31796,0.001307,0.001307,0.001307
9,367.385,1.33733,1.24179,1.38995,0.79003,0.74931,0.8183,0.50851,1.2812,0.92114,1.30456,0.001208,0.001208,0.001208
10,408.135,1.32483,1.2037,1.38064,0.81556,0.76352,0.83792,0.51456,1.27171,0.88131,1.28395,0.001109,0.001109,0.001109
11,449.111,1.28695,1.02463,1.37185,0.84394,0.77338,0.85278,0.52384,1.27071,0.88654,1.28251,0.00101,0.00101,0.00101
12,489.747,1.2621,0.96214,1.35762,0.83265,0.78284,0.84986,0.53401,1.25246,0.85689,1.2985,0.000911,0.000911,0.000911
13,528.84,1.2209,0.90978,1.32867,0.83833,0.78553,0.85584,0.54313,1.24331,0.81392,1.27441,0.000812,0.000812,0.000812
14,568.107,1.19781,0.8726,1.30455,0.87462,0.77754,0.86878,0.55546,1.20655,0.79296,1.2604,0.000713,0.000713,0.000713
15,608.65,1.16659,0.83157,1.2874,0.8451,0.80085,0.86243,0.54936,1.22922,0.77336,1.26159,0.000614,0.000614,0.000614
16,648.693,1.1378,0.79461,1.26899,0.84408,0.82008,0.88116,0.56466,1.19192,0.73932,1.24903,0.000515,0.000515,0.000515
17,687.017,1.11039,0.76058,1.25583,0.86369,0.80932,0.87661,0.57419,1.16818,0.72095,1.23487,0.000416,0.000416,0.000416
18,726.98,1.0919,0.73603,1.24136,0.87128,0.83369,0.88231,0.5743,1.17493,0.70745,1.23024,0.000317,0.000317,0.000317
19,766.802,1.06544,0.70692,1.22934,0.86105,0.82627,0.8832,0.58796,1.15719,0.70655,1.22581,0.000218,0.000218,0.000218
20,807.764,1.04677,0.69162,1.21245,0.87945,0.82521,0.88735,0.5895,1.14303,0.68275,1.21544,0.000119,0.000119,0.000119
