epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.6349,2.01893,2.94067,2.14697,0.50503,0.36229,0.35973,0.15992,1.12367,94.0057,1.1452,0.00991071,0.00330357,0.00991071,0.00330357,0.00991071,0.00330357,0.00991071,0.00330357
2,72.8099,1.80171,2.44847,1.97966,0.34053,0.21928,0.20034,0.07303,1.38779,44.491,1.47608,0.0197136,0.0065712,0.0197136,0.0065712,0.0197136,0.0065712,0.0197136,0.0065712
3,95.8994,1.85425,2.46531,2.07559,0.11173,0.07627,0.02993,0.01045,1.71351,67.8842,1.892,0.0293185,0.00977283,0.0293185,0.00977283,0.0293185,0.00977283,0.0293185,0.00977283
4,118.463,1.89667,2.55623,2.14167,0.15794,0.17479,0.07809,0.023,1.5325,71.4095,1.72269,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,150.573,1.84098,2.46263,2.12232,0.27099,0.24788,0.16481,0.06931,1.43351,367.791,1.58929,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,180.71,1.79279,2.37689,2.07016,0.33878,0.30191,0.24821,0.10354,1.28629,29.1169,1.38932,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,203.093,1.76015,2.29996,2.03281,0.40244,0.28537,0.26985,0.10468,1.32794,126.165,1.4774,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,225.905,1.74637,2.25332,2.01854,0.425,0.38665,0.32332,0.1247,1.33315,111.485,1.41075,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,248.477,1.73373,2.17637,2.00226,0.45535,0.4089,0.3762,0.14483,1.41047,249.316,1.49078,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,270.623,1.7001,2.12273,1.98393,0.49506,0.40401,0.42654,0.17645,1.24914,12.3469,1.35188,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,293.015,1.68175,2.09912,1.96112,0.57687,0.46503,0.49527,0.2177,1.22443,13.5562,1.29178,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,315.311,1.67731,2.08243,1.95785,0.6082,0.48623,0.51979,0.21333,1.26037,72.2718,1.32702,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,337.457,1.66856,2.03999,1.94778,0.68529,0.51589,0.5768,0.22869,1.25707,12.9106,1.31683,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,359.672,1.65218,2.01242,1.93601,0.59213,0.43114,0.47645,0.19576,1.24489,7.65079,1.32748,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,381.851,1.64355,1.99634,1.92089,0.62228,0.53708,0.56276,0.26082,1.10741,38.0168,1.18629,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,404.03,1.6331,1.97483,1.91629,0.72741,0.5625,0.64597,0.27557,1.21542,20.9858,1.27161,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,426.37,1.6239,1.95613,1.91088,0.70769,0.58898,0.65119,0.28498,1.16352,20.1208,1.22545,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,448.627,1.61673,1.93787,1.90878,0.68639,0.58658,0.63561,0.28236,1.17372,31.8752,1.24395,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,470.952,1.60224,1.90627,1.8971,0.67875,0.54979,0.59755,0.31659,1.03934,45.7406,1.13786,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,493.404,1.60283,1.89298,1.88316,0.76168,0.58581,0.66588,0.31968,1.09743,14.9884,1.20052,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,515.729,1.59513,1.87488,1.88636,0.71718,0.57309,0.66178,0.32045,1.07265,11.8613,1.16995,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,538.225,1.58251,1.86932,1.87647,0.72135,0.60878,0.66167,0.30712,1.13226,22.5817,1.18713,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,560.418,1.5826,1.86663,1.86149,0.75076,0.57839,0.64031,0.28457,1.17691,33.485,1.23557,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,582.627,1.58667,1.8457,1.86686,0.75853,0.58263,0.67414,0.29198,1.19777,10.2944,1.25271,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,605.026,1.57835,1.83772,1.86465,0.75567,0.58898,0.68293,0.33698,1.09071,17.099,1.15944,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,627.292,1.56139,1.82243,1.84408,0.75786,0.65646,0.70112,0.33306,1.08949,43.7687,1.15266,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,649.479,1.55797,1.80508,1.85122,0.77687,0.66389,0.74017,0.37529,1.03913,18.8453,1.11147,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,671.912,1.5565,1.79887,1.84569,0.79085,0.63136,0.71243,0.36121,1.05219,10.3158,1.13941,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,694.178,1.55285,1.79307,1.84319,0.78162,0.63242,0.70195,0.31277,1.1544,9.54075,1.21289,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,716.303,1.5501,1.77333,1.83017,0.79258,0.67055,0.72373,0.3569,1.0985,8.17601,1.15669,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,738.676,1.53638,1.75131,1.82647,0.78512,0.69668,0.74,0.37835,1.0302,28.4947,1.11075,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,761.041,1.53638,1.75543,1.82583,0.79573,0.6928,0.76197,0.39494,1.01111,14.5891,1.08664,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,783.514,1.53492,1.73144,1.81807,0.8269,0.67903,0.76876,0.38643,1.02631,9.18179,1.09434,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,805.762,1.53773,1.72507,1.81787,0.80105,0.66538,0.74947,0.34731,1.13676,9.13956,1.17632,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,828.023,1.53055,1.72044,1.81827,0.81249,0.66843,0.75217,0.37164,1.06555,13.5096,1.11701,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,850.343,1.52505,1.70401,1.81466,0.7937,0.68471,0.76697,0.38917,1.0306,18.3822,1.09349,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,872.59,1.51861,1.70938,1.80611,0.79436,0.7161,0.76613,0.3932,1.02366,21.8479,1.07984,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,894.845,1.52039,1.69633,1.80773,0.80848,0.6928,0.76833,0.39764,1.01249,17.8942,1.08296,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,917.241,1.51211,1.68425,1.80114,0.79518,0.71928,0.77123,0.41354,0.98543,8.36863,1.06551,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,939.586,1.50848,1.68507,1.79895,0.80636,0.70582,0.77675,0.38685,1.05463,14.6119,1.1136,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,961.924,1.51181,1.67283,1.7985,0.83634,0.6875,0.75907,0.39998,1.00775,7.57244,1.09131,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,984.314,1.50421,1.66264,1.7897,0.82967,0.70174,0.78652,0.41627,1.0141,10.7702,1.08583,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1006.63,1.49123,1.66117,1.78682,0.82857,0.69123,0.76836,0.39763,1.02642,10.4506,1.09565,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1028.9,1.49593,1.64874,1.79155,0.83201,0.71716,0.79192,0.41832,1.00524,13.3708,1.07061,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1051.31,1.49001,1.65158,1.79211,0.83768,0.71822,0.79661,0.45111,0.94408,8.48487,1.03131,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1073.58,1.47606,1.63103,1.78002,0.842,0.69174,0.77337,0.41122,0.99378,9.38153,1.05971,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1095.9,1.48702,1.62077,1.77812,0.82921,0.72516,0.8039,0.43697,0.97819,4.95335,1.04744,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1118.31,1.4719,1.61841,1.77174,0.82891,0.72458,0.79028,0.44246,0.92374,13.4278,1.01933,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1140.53,1.47913,1.62086,1.78197,0.83518,0.69244,0.77713,0.40501,1.0268,10.1159,1.07811,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1162.98,1.46884,1.60303,1.76393,0.85123,0.7214,0.80164,0.42838,0.9873,11.3161,1.05007,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1185.22,1.47989,1.60805,1.77413,0.83364,0.71662,0.80494,0.46176,0.91164,8.08203,1.00269,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1207.52,1.47605,1.60045,1.77076,0.8382,0.74364,0.81802,0.44808,0.95562,9.25773,1.0393,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1229.94,1.46907,1.58937,1.75879,0.85103,0.70806,0.79667,0.42944,0.97139,10.9616,1.04154,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1252.15,1.4537,1.57692,1.75864,0.83796,0.73835,0.81227,0.45299,0.93835,9.07734,1.01688,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1274.33,1.46218,1.5763,1.75992,0.86906,0.73623,0.8188,0.46417,0.93091,10.9755,1.01251,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1296.59,1.45692,1.57567,1.75035,0.84403,0.73375,0.81853,0.44588,0.96144,5.80843,1.0269,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1318.82,1.45808,1.56504,1.74865,0.84988,0.73167,0.81236,0.45097,0.93147,5.9954,1.00972,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1341.1,1.45422,1.53291,1.74629,0.85464,0.75106,0.8265,0.46204,0.93373,5.26768,1.01378,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1363.45,1.43471,1.5412,1.73303,0.86191,0.74713,0.83394,0.45595,0.96118,6.31437,1.03019,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1385.63,1.45144,1.52875,1.74193,0.86137,0.75693,0.83327,0.46343,0.95228,4.9704,1.01463,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
