epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,262.803,0.81923,1.14172,0.70909,0.55482,0.52542,0.50154,0.23357,0.34336,3.47942,0.30816,0.00998878,0.00332959,0.00998878,0.00332959,0.00998878,0.00332959,0.00998878,0.00332959
2,447.164,0.63639,0.87567,0.52541,0.6318,0.6362,0.61044,0.30952,0.31844,3.28586,0.26621,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696
3,615.584,0.658,0.86537,0.52189,0.68141,0.52966,0.57065,0.27387,0.34398,3.19345,0.30037,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833
4,777.534,0.7049,0.85789,0.54145,0.69747,0.54873,0.56454,0.25205,0.36162,2.45337,0.3087,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,938.242,0.7085,0.86805,0.54597,0.47488,0.35699,0.32988,0.13407,0.42321,3.92592,0.38209,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1100.59,0.72034,0.88652,0.55332,0.58249,0.48328,0.48395,0.2059,0.37309,3.40465,0.30747,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1261.39,0.6972,0.87485,0.53145,0.61459,0.52331,0.51687,0.22868,0.35279,3.16654,0.30629,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1422.94,0.68163,0.86548,0.51622,0.70604,0.59746,0.61977,0.25969,0.3524,3.16345,0.30168,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1584.61,0.66102,0.84376,0.49553,0.73162,0.63665,0.68377,0.32068,0.33663,2.2114,0.27723,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1745.61,0.66107,0.8307,0.48615,0.77768,0.66314,0.69883,0.33691,0.32454,1.42554,0.27958,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
