epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.943,1.87398,2.2958,2.07986,0.42133,0.3178,0.29404,0.11137,1.43596,5.54779,1.47658,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,261.63,1.78151,2.17482,2.00204,0.5304,0.48305,0.44989,0.19183,1.31058,23.5523,1.37369,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,378.63,1.86566,2.42056,2.14197,0.32581,0.2575,0.19067,0.06607,1.58698,135.676,1.77158,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,489.666,1.9017,2.59259,2.20615,0.25839,0.203,0.1291,0.04555,1.54585,84.434,1.68916,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,599.073,1.84428,2.51094,2.17682,0.30168,0.29518,0.22741,0.08772,1.40926,21.9148,1.56831,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,709.916,1.78008,2.37449,2.10424,0.40577,0.34004,0.31038,0.10838,1.45335,8.52677,1.61005,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,823.255,1.75442,2.28035,2.07993,0.53209,0.45127,0.45197,0.18255,1.31961,20.1855,1.46959,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,930.751,1.72138,2.21441,2.06808,0.56256,0.48517,0.481,0.18703,1.32763,13.8,1.40761,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1045.61,1.6961,2.14063,2.0243,0.67361,0.47669,0.52553,0.19515,1.35092,5.17349,1.48958,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1157.03,1.6745,2.0937,2.02295,0.70424,0.50106,0.57713,0.24405,1.27826,10.5118,1.42588,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1266.79,1.66072,2.03829,1.99539,0.66483,0.56144,0.59188,0.25215,1.26302,9.09252,1.38851,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1378.96,1.63991,1.98778,1.96829,0.69411,0.60094,0.65071,0.30438,1.20213,9.22901,1.29935,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1492.04,1.62184,1.96425,1.95778,0.75141,0.59236,0.67913,0.3333,1.1743,4.15911,1.24658,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1601.36,1.60995,1.92235,1.94624,0.75281,0.56992,0.67578,0.34552,1.08919,4.71493,1.22629,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1713.54,1.60696,1.89714,1.94858,0.72076,0.62613,0.68192,0.3129,1.18488,6.54918,1.28387,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1826.58,1.57948,1.84483,1.91874,0.76522,0.61335,0.70437,0.35701,1.09526,4.62331,1.19283,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1937.75,1.57598,1.82886,1.91226,0.74136,0.62549,0.68738,0.31557,1.1822,6.52183,1.24523,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2052.46,1.57153,1.80788,1.90772,0.78301,0.62182,0.71727,0.37658,1.08606,4.58254,1.21816,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2159.55,1.55597,1.79467,1.89598,0.7874,0.61547,0.70398,0.36744,1.09088,3.96808,1.2059,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2273.09,1.54134,1.74826,1.87977,0.79278,0.64831,0.74478,0.36992,1.10221,3.36075,1.22633,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2382.97,1.54186,1.74218,1.88367,0.76362,0.63453,0.71629,0.41901,0.96252,3.49769,1.10163,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2492.58,1.53654,1.72218,1.86854,0.80164,0.66525,0.75752,0.41892,0.99089,4.16816,1.10106,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2603.64,1.51384,1.69599,1.8601,0.81631,0.67373,0.7555,0.4161,1.00761,3.39357,1.11617,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2717.29,1.51173,1.68223,1.86363,0.7509,0.67058,0.74898,0.41826,0.98502,6.97563,1.10321,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2829.59,1.51592,1.67866,1.85884,0.84608,0.69597,0.79579,0.44692,1.00696,2.92369,1.12653,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2943.43,1.49059,1.65088,1.841,0.79237,0.69532,0.76711,0.40885,1.0253,4.09904,1.13317,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3057.52,1.49536,1.64614,1.83676,0.78353,0.72246,0.78524,0.44861,0.96755,2.78021,1.0804,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3165.8,1.48013,1.61802,1.83312,0.83327,0.7214,0.79647,0.4424,0.99881,3.37932,1.09957,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3279.43,1.49246,1.59373,1.83517,0.84989,0.68962,0.79348,0.43379,1.02237,3.00505,1.123,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3390.36,1.47419,1.56901,1.81272,0.83159,0.72186,0.80636,0.45717,0.96566,3.25709,1.07754,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3500.47,1.4668,1.5582,1.81144,0.85997,0.73941,0.81524,0.47687,0.93158,2.24922,1.04003,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3611.14,1.47164,1.55824,1.8222,0.85904,0.7101,0.80778,0.45591,0.96311,1.92202,1.07152,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
