epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8627,1.97921,2.77649,2.15871,0.20897,0.1822,0.13581,0.03938,1.63095,25.4822,1.80819,0.000665172,0.000665172,0.000665172
2,146.285,1.90906,2.58658,2.16223,0.21768,0.1875,0.11262,0.04018,1.53226,58.1674,1.62759,0.00130547,0.00130547,0.00130547
3,216.91,1.88939,2.56691,2.15295,0.31153,0.23729,0.16296,0.05459,1.65176,13.4285,1.7172,0.00191936,0.00191936,0.00191936
4,291.109,1.83977,2.51228,2.12681,0.44027,0.34322,0.30786,0.13237,1.42729,18.6689,1.5388,0.0018812,0.0018812,0.0018812
5,364.651,1.80468,2.43061,2.08565,0.54865,0.37712,0.39913,0.16604,1.35838,8.14146,1.4787,0.0018416,0.0018416,0.0018416
6,431.954,1.76827,2.3669,2.05355,0.45292,0.33325,0.33498,0.13907,1.29051,5.69278,1.35175,0.001802,0.001802,0.001802
7,510.427,1.75807,2.31474,2.03576,0.44324,0.42267,0.35329,0.14948,1.31396,12.2207,1.4044,0.0017624,0.0017624,0.0017624
8,580.804,1.71457,2.24588,2.00989,0.45045,0.42903,0.39105,0.16747,1.33524,6.70216,1.43109,0.0017228,0.0017228,0.0017228
9,654.915,1.71861,2.2404,2.00845,0.5826,0.4375,0.45506,0.19186,1.3238,8.36531,1.38616,0.0016832,0.0016832,0.0016832
10,723.634,1.70613,2.19127,1.98884,0.60224,0.51483,0.52596,0.22837,1.23559,12.4792,1.31686,0.0016436,0.0016436,0.0016436
11,799.447,1.67753,2.15709,1.97833,0.62197,0.48411,0.51485,0.21878,1.28508,9.39321,1.36474,0.001604,0.001604,0.001604
12,868.235,1.67221,2.12664,1.96638,0.65575,0.51165,0.51863,0.1908,1.38864,12.7049,1.44736,0.0015644,0.0015644,0.0015644
13,934.378,1.66842,2.09819,1.95446,0.60212,0.52013,0.54414,0.2494,1.24468,6.23636,1.2907,0.0015248,0.0015248,0.0015248
14,1013.42,1.65568,2.07629,1.94598,0.65793,0.51695,0.54326,0.2234,1.30907,14.9388,1.37102,0.0014852,0.0014852,0.0014852
15,1083.48,1.64586,2.06614,1.95034,0.72301,0.5339,0.61887,0.30272,1.11709,7.60855,1.19197,0.0014456,0.0014456,0.0014456
16,1152.94,1.63039,2.021,1.9309,0.71124,0.55316,0.6296,0.27509,1.20162,7.82133,1.27708,0.001406,0.001406,0.001406
17,1229.79,1.63547,2.01089,1.9236,0.71141,0.58581,0.6368,0.28947,1.21167,5.61072,1.26392,0.0013664,0.0013664,0.0013664
18,1302.7,1.62293,1.99266,1.9135,0.74682,0.61869,0.66876,0.3067,1.23451,7.80092,1.28339,0.0013268,0.0013268,0.0013268
19,1373.12,1.60756,1.96926,1.90149,0.70617,0.61758,0.66938,0.32137,1.20588,4.40671,1.22835,0.0012872,0.0012872,0.0012872
20,1441.76,1.60322,1.9431,1.90138,0.73966,0.59958,0.66684,0.32267,1.16159,2.93363,1.2141,0.0012476,0.0012476,0.0012476
21,1519.78,1.60103,1.94319,1.89928,0.75349,0.60911,0.66823,0.33217,1.11475,6.90747,1.20507,0.001208,0.001208,0.001208
22,1590.49,1.59457,1.91807,1.89435,0.75532,0.61123,0.68123,0.32914,1.1548,5.3516,1.21014,0.0011684,0.0011684,0.0011684
23,1660.12,1.57999,1.89098,1.88003,0.75246,0.64089,0.6892,0.35098,1.13318,8.35634,1.17244,0.0011288,0.0011288,0.0011288
24,1736.37,1.56974,1.88716,1.87366,0.77633,0.64195,0.70597,0.34217,1.17171,4.85199,1.20854,0.0010892,0.0010892,0.0010892
25,1807.57,1.57388,1.87935,1.87107,0.78005,0.66208,0.72532,0.37262,1.10634,6.35638,1.15812,0.0010496,0.0010496,0.0010496
26,1876.75,1.57456,1.85961,1.86883,0.79333,0.64831,0.73235,0.37477,1.09047,3.82867,1.13921,0.00101,0.00101,0.00101
27,1946.4,1.559,1.83351,1.85784,0.79091,0.64513,0.73666,0.38696,1.0597,5.01023,1.1219,0.0009704,0.0009704,0.0009704
28,2021.25,1.56267,1.83986,1.86258,0.7826,0.6822,0.75518,0.38379,1.09946,3.6338,1.14915,0.0009308,0.0009308,0.0009308
29,2091.25,1.54756,1.82,1.85108,0.81247,0.66419,0.75328,0.36981,1.11275,4.31859,1.15478,0.0008912,0.0008912,0.0008912
30,2159.45,1.54175,1.79125,1.83866,0.81278,0.68644,0.76661,0.41251,1.02187,4.38171,1.07873,0.0008516,0.0008516,0.0008516
31,2238.74,1.53003,1.77364,1.82853,0.77343,0.69067,0.74525,0.40601,1.04497,7.23754,1.10512,0.000812,0.000812,0.000812
32,2311.24,1.54386,1.78448,1.83906,0.79063,0.68326,0.75488,0.4022,1.03908,4.2721,1.09595,0.0007724,0.0007724,0.0007724
33,2380.01,1.53495,1.76621,1.82586,0.82897,0.68802,0.77068,0.4131,1.05686,4.86085,1.10135,0.0007328,0.0007328,0.0007328
34,2455.99,1.52776,1.75192,1.82272,0.79873,0.71887,0.77622,0.42464,1.02578,3.95005,1.0803,0.0006932,0.0006932,0.0006932
35,2529.03,1.51047,1.71844,1.81127,0.81211,0.7161,0.78603,0.43175,1.00145,3.63362,1.06346,0.0006536,0.0006536,0.0006536
36,2601.22,1.51061,1.72464,1.81221,0.82248,0.71716,0.79163,0.43977,0.97572,3.45979,1.05527,0.000614,0.000614,0.000614
37,2668.13,1.51397,1.70997,1.81247,0.83815,0.71315,0.79488,0.43797,0.98438,3.35713,1.05949,0.0005744,0.0005744,0.0005744
38,2746.43,1.49073,1.6945,1.80276,0.85358,0.72246,0.80071,0.43379,1.00107,2.44442,1.07124,0.0005348,0.0005348,0.0005348
39,2816.53,1.49275,1.68208,1.79807,0.84455,0.71504,0.79733,0.4402,0.97619,3.09224,1.04621,0.0004952,0.0004952,0.0004952
40,2891.28,1.4922,1.67479,1.79206,0.83998,0.71174,0.79761,0.45464,0.96956,2.94031,1.04268,0.0004556,0.0004556,0.0004556
41,2963.77,1.239,1.20577,1.66296,0.84574,0.72019,0.8017,0.43968,1.01534,2.65603,1.06362,0.000416,0.000416,0.000416
42,3037.26,1.21722,1.08381,1.64551,0.81669,0.72881,0.80845,0.44481,0.98258,2.33079,1.03273,0.0003764,0.0003764,0.0003764
43,3105.24,1.20394,1.04342,1.63689,0.86366,0.72474,0.82073,0.46538,0.97688,1.95609,1.02886,0.0003368,0.0003368,0.0003368
44,3172.18,1.20272,1.01551,1.6192,0.84749,0.76271,0.8212,0.46706,0.96491,2.30118,1.02524,0.0002972,0.0002972,0.0002972
45,3249.08,1.1783,0.98621,1.61135,0.84201,0.73392,0.81863,0.47013,0.95852,1.48785,1.0289,0.0002576,0.0002576,0.0002576
46,3318.76,1.17404,0.96367,1.59885,0.84046,0.72987,0.81354,0.47201,0.95472,1.76004,1.02496,0.000218,0.000218,0.000218
47,3386.38,1.1638,0.95663,1.60185,0.83786,0.76907,0.83017,0.48279,0.93616,1.62687,1.01116,0.0001784,0.0001784,0.0001784
48,3463.36,1.14931,0.93791,1.59173,0.85322,0.7574,0.82976,0.48987,0.91191,1.74929,0.99227,0.0001388,0.0001388,0.0001388
49,3535.63,1.14203,0.92319,1.57815,0.85394,0.76483,0.83543,0.49581,0.91277,1.86172,0.9926,9.92e-05,9.92e-05,9.92e-05
50,3604.28,1.13571,0.91911,1.57117,0.8619,0.75424,0.8337,0.49521,0.91381,1.70341,0.99253,5.96e-05,5.96e-05,5.96e-05
