epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.7655,1.96008,2.5489,2.08192,0.54435,0.5,0.45986,0.19811,1.25299,20.3936,1.27635,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,184.213,1.80485,2.22414,1.97271,0.45192,0.36335,0.3259,0.13714,1.376,26.4369,1.33898,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,264.913,1.87336,2.40873,2.10696,0.273,0.20975,0.14246,0.05041,1.41615,171.631,1.47195,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,351.233,1.90929,2.55453,2.16936,0.25697,0.28814,0.19658,0.06602,1.44789,50.5924,1.5405,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,433.154,1.85382,2.47817,2.15685,0.4047,0.25212,0.23263,0.08584,1.43481,21.1727,1.54632,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,514.353,1.79236,2.36034,2.08086,0.51822,0.43856,0.43351,0.18383,1.35799,11.9999,1.46345,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,598.251,1.77055,2.27134,2.0566,0.53326,0.44915,0.45742,0.20102,1.34819,15.7966,1.44817,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,682.998,1.74791,2.20881,2.03165,0.58335,0.44049,0.46475,0.19268,1.28771,24.6957,1.3818,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,765.561,1.71481,2.1476,2.00559,0.60369,0.49682,0.51867,0.20321,1.30383,10.0843,1.3724,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,846.088,1.69799,2.10653,1.99441,0.59792,0.47564,0.52043,0.24597,1.2533,2.80995,1.28812,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,928.772,1.68689,2.06284,1.97224,0.64108,0.56568,0.59102,0.27422,1.19079,6.31138,1.26149,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1011.35,1.66274,2.02213,1.94049,0.67468,0.52966,0.60383,0.27218,1.26974,5.82038,1.29821,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1091.85,1.64729,1.98136,1.93393,0.76709,0.54661,0.64044,0.29542,1.22024,2.46912,1.25152,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1174.75,1.63824,1.95724,1.92741,0.71283,0.61123,0.67847,0.33972,1.14312,4.2911,1.20706,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1260.54,1.63318,1.91717,1.93018,0.74981,0.59746,0.67103,0.29531,1.24916,5.16266,1.30843,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1343.48,1.60034,1.88197,1.90492,0.73105,0.62818,0.69335,0.32557,1.14359,3.94844,1.20532,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1425.55,1.60197,1.87002,1.9008,0.73897,0.62394,0.69278,0.32721,1.18074,4.18796,1.2017,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1505.89,1.6,1.85879,1.88366,0.71809,0.65841,0.69515,0.34322,1.12107,6.28437,1.19318,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1593.17,1.58622,1.83456,1.88388,0.72844,0.61229,0.69049,0.3312,1.16109,4.55572,1.18357,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1675.06,1.5706,1.78556,1.86408,0.82712,0.65888,0.74621,0.36404,1.11453,2.64934,1.15633,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1756.22,1.56505,1.78684,1.86759,0.80093,0.625,0.71477,0.38403,1.04653,3.59892,1.12864,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1834.67,1.56938,1.76649,1.85116,0.80116,0.68292,0.75261,0.40728,1.04172,5.40396,1.12252,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1919.06,1.54884,1.74556,1.85067,0.81665,0.66999,0.75678,0.38498,1.11166,2.89345,1.15305,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1999.98,1.54629,1.7258,1.84732,0.80341,0.67267,0.75662,0.40442,1.02339,6.61624,1.09455,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2080.06,1.54948,1.7364,1.84306,0.81509,0.66772,0.76812,0.41518,1.02572,3.99068,1.09402,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2161.19,1.52796,1.70997,1.83275,0.82664,0.63665,0.74017,0.39634,1.01517,3.09297,1.08296,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2247.89,1.53276,1.69959,1.82432,0.84832,0.69597,0.79363,0.41667,1.04228,2.81701,1.10078,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2330.43,1.51751,1.67254,1.82074,0.82207,0.68962,0.77624,0.42057,0.98914,4.49186,1.06527,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2413.63,1.52364,1.66188,1.81263,0.80341,0.72298,0.78797,0.4211,1.01979,3.36832,1.08098,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2494.62,1.51947,1.64164,1.80356,0.84475,0.69744,0.79139,0.45049,0.97093,2.83054,1.03809,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
