epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.09,1.91979,2.73018,2.11052,0.38152,0.33581,0.27519,0.10022,1.42958,27.3699,1.45993,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,249.229,1.86156,2.52973,2.104,0.34199,0.2839,0.2175,0.08745,1.36599,19.0287,1.45566,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,361.482,1.92209,2.64056,2.22086,0.19558,0.16949,0.09894,0.03598,1.55284,46.3819,1.70093,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,466.329,1.92297,2.68617,2.23499,0.22602,0.18114,0.10584,0.03886,1.44647,48.6723,1.60931,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,576.348,1.86191,2.57641,2.18554,0.38425,0.32097,0.29358,0.10864,1.33113,28.337,1.46917,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,688.248,1.80356,2.4881,2.13119,0.37373,0.36792,0.28394,0.10587,1.35468,15.3263,1.5086,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,794.081,1.78965,2.40771,2.10293,0.49044,0.43432,0.39385,0.16103,1.26571,28.9113,1.40509,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,902.11,1.77274,2.37068,2.08983,0.51456,0.41995,0.4108,0.174,1.23148,18.168,1.40399,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1017.16,1.73969,2.30901,2.0622,0.47336,0.44068,0.41628,0.17265,1.23438,13.28,1.35733,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1126.4,1.72544,2.26549,2.05238,0.61167,0.47054,0.50348,0.20762,1.28213,16.3235,1.40385,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
