epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.1151,1.97567,2.86753,2.13161,0.36249,0.34216,0.27095,0.10602,1.28808,21.269,1.31058,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,155.241,1.83054,2.5196,2.02364,0.43126,0.35824,0.34302,0.12967,1.33966,35.8559,1.37542,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,223.147,1.87747,2.53199,2.10815,0.28003,0.14195,0.10943,0.03667,1.43981,8.78272,1.53102,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,291.446,1.91408,2.6082,2.15501,0.28281,0.22933,0.16516,0.06636,1.42011,36.3929,1.56512,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,359.889,1.8645,2.54048,2.13449,0.46609,0.39513,0.35252,0.13439,1.34845,19.3472,1.43011,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,425.254,1.81456,2.45241,2.0851,0.40863,0.34216,0.29808,0.10392,1.44355,12.5352,1.52485,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,495.507,1.80711,2.39164,2.06448,0.53045,0.43114,0.4248,0.15309,1.39182,12.2396,1.46768,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,563.176,1.78365,2.35466,2.04625,0.49258,0.41631,0.40126,0.16448,1.32133,21.0644,1.40697,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,630.461,1.75334,2.30861,2.02709,0.54598,0.42161,0.46465,0.1728,1.32977,18.9796,1.45164,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,694.764,1.74688,2.27101,2.01814,0.53507,0.44703,0.43804,0.17416,1.32871,23.2016,1.4075,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,763.933,1.73418,2.22853,2.0011,0.5936,0.43015,0.48341,0.17608,1.38922,10.2924,1.4698,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,827.728,1.72268,2.20144,1.98537,0.59898,0.44068,0.50344,0.2052,1.34708,5.29503,1.42303,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,893.962,1.70457,2.16929,1.97389,0.59996,0.53602,0.56122,0.24701,1.24357,4.98214,1.316,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,966.287,1.69919,2.15562,1.96113,0.61552,0.51059,0.51913,0.20899,1.29833,10.7101,1.37713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1034.68,1.69338,2.12022,1.96918,0.58063,0.51333,0.50443,0.19269,1.37321,8.00731,1.43112,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1101.42,1.67213,2.09408,1.94625,0.63024,0.52966,0.56958,0.25351,1.22796,3.14075,1.29262,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1166.04,1.6787,2.0806,1.9462,0.62385,0.53708,0.52739,0.206,1.33698,9.00092,1.38065,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1236.25,1.66607,2.06666,1.93347,0.63046,0.55508,0.58317,0.24001,1.22321,9.73268,1.26946,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1304.41,1.66259,2.06397,1.933,0.69834,0.54686,0.60552,0.24709,1.36307,5.94219,1.39042,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1370.94,1.63965,2.02391,1.91104,0.70844,0.54567,0.59861,0.24167,1.26808,5.65214,1.30237,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1439.35,1.64787,2.01832,1.92016,0.73064,0.56356,0.64578,0.27957,1.20747,6.49212,1.24846,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1507.36,1.64299,2.00532,1.90959,0.7184,0.59726,0.63125,0.26287,1.30408,6.46248,1.32381,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1573.26,1.6232,1.98395,1.90106,0.7154,0.58898,0.64304,0.2843,1.26132,7.28799,1.30981,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1635.84,1.62151,1.96849,1.90364,0.67974,0.59133,0.62892,0.26191,1.26734,8.71044,1.3186,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1705.71,1.62563,1.9775,1.89362,0.78109,0.58209,0.67676,0.31693,1.18076,6.63636,1.23334,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1773.52,1.60964,1.96111,1.8893,0.68723,0.60805,0.65663,0.29925,1.19403,10.8953,1.22595,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1841.09,1.6147,1.95471,1.88793,0.7416,0.64453,0.71564,0.33924,1.15675,4.43703,1.21069,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1910.07,1.60411,1.92178,1.87862,0.75172,0.61259,0.68634,0.29821,1.22036,5.31043,1.26332,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1978.16,1.60529,1.9082,1.87323,0.7649,0.62383,0.71251,0.32975,1.12963,5.56475,1.15762,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2045.71,1.59918,1.89842,1.86577,0.76995,0.64527,0.70743,0.33565,1.14099,6.54474,1.1706,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2110.16,1.59213,1.89391,1.87081,0.77237,0.63262,0.71916,0.35896,1.1156,3.79327,1.17189,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2181.05,1.5966,1.8986,1.87673,0.78394,0.64301,0.71174,0.33015,1.16251,5.8973,1.19901,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2248.03,1.58457,1.86775,1.85217,0.74734,0.63665,0.68517,0.31331,1.1857,4.37444,1.222,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2315.05,1.58412,1.87123,1.86459,0.76802,0.63877,0.70221,0.31326,1.20452,5.7966,1.24036,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2380.22,1.57786,1.86733,1.85267,0.79249,0.6303,0.71595,0.32515,1.14915,4.21648,1.1769,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2447.97,1.57407,1.84741,1.84453,0.74634,0.63559,0.69805,0.33417,1.16971,4.44394,1.20669,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2514.53,1.57516,1.85067,1.84553,0.78911,0.66102,0.74056,0.35748,1.09328,3.57848,1.13128,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2580.85,1.57447,1.84393,1.84296,0.76586,0.65466,0.72333,0.34741,1.1185,5.75069,1.1566,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2651.21,1.58004,1.84278,1.85741,0.78709,0.68008,0.75071,0.37325,1.10904,4.00511,1.14032,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2719.28,1.56998,1.83666,1.83625,0.78814,0.63771,0.73152,0.37714,1.0536,3.73888,1.11061,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2786.1,1.55579,1.816,1.8396,0.80542,0.64896,0.73163,0.3673,1.08751,2.87725,1.12553,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2850.66,1.57101,1.82374,1.83544,0.79653,0.67373,0.7506,0.38786,1.07002,3.56816,1.1007,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2920.14,1.55481,1.80508,1.83239,0.78658,0.68538,0.75229,0.37143,1.101,3.09589,1.12458,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2986.84,1.55238,1.79021,1.82452,0.81441,0.68336,0.74868,0.37851,1.11218,6.05931,1.13743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3053.74,1.54616,1.78662,1.82296,0.78443,0.6875,0.75203,0.37974,1.06188,3.82825,1.09802,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3122.53,1.54456,1.77422,1.81472,0.80097,0.68635,0.76817,0.37989,1.10178,3.51688,1.12907,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3189.34,1.53892,1.76904,1.82163,0.81431,0.67055,0.75252,0.37328,1.10251,3.90412,1.12783,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3254.85,1.54128,1.77977,1.82047,0.78893,0.69068,0.75694,0.37726,1.08006,3.50192,1.10864,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3320,1.53333,1.76392,1.80845,0.81708,0.69174,0.7645,0.38775,1.06796,3.51894,1.1088,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3391.67,1.53522,1.75315,1.81588,0.79426,0.72564,0.77309,0.39931,1.06383,3.96783,1.10158,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3458.77,1.52419,1.74773,1.80366,0.79611,0.67422,0.75428,0.37678,1.10133,3.18212,1.12803,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3525.95,1.52177,1.72052,1.80374,0.80702,0.71716,0.77861,0.39887,1.06346,2.99752,1.09617,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3593.73,1.52358,1.72882,1.81092,0.80034,0.71716,0.77693,0.39589,1.08723,4.02593,1.11127,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3661.1,1.52146,1.73553,1.80347,0.80723,0.68315,0.75982,0.39133,1.0638,3.13691,1.09946,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3728.43,1.52121,1.7233,1.79779,0.81796,0.68538,0.76782,0.39407,1.0729,3.6789,1.11006,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3791.87,1.52414,1.72972,1.79536,0.82931,0.7154,0.7834,0.4168,1.01452,2.64822,1.06915,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3862.14,1.50943,1.71004,1.78321,0.82401,0.70431,0.77383,0.40972,1.06125,3.55047,1.09724,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3929.04,1.51256,1.69937,1.79752,0.77897,0.72987,0.78423,0.41103,1.04902,3.79507,1.08059,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3995.34,1.50342,1.69093,1.7793,0.81472,0.70763,0.78371,0.41276,1.05512,3.30889,1.0889,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4062.33,1.50634,1.6949,1.78928,0.83333,0.71504,0.8052,0.43025,0.99615,3.58046,1.04967,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4131.21,1.5022,1.69213,1.78098,0.82685,0.70869,0.78934,0.40156,1.05736,3.18702,1.09317,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4199.17,1.50061,1.68658,1.78399,0.85218,0.70229,0.80115,0.41294,1.04448,2.55305,1.07351,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4264.43,1.50089,1.66931,1.77803,0.83244,0.70518,0.78512,0.406,1.05468,3.8449,1.08862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4334.35,1.5113,1.67759,1.78278,0.81368,0.70317,0.79167,0.41413,1.05004,3.13641,1.08024,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4402.46,1.48791,1.6574,1.76861,0.83197,0.73093,0.79857,0.41614,1.05966,2.93319,1.08829,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4469.6,1.49584,1.67044,1.77004,0.84772,0.72881,0.81129,0.43886,1.01066,2.9639,1.05123,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
