epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,86.554,2.00717,2.54542,2.1084,0.44528,0.4947,0.42109,0.17699,1.21167,16.9637,1.22161,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,161.313,1.81798,2.26391,1.97215,0.4468,0.39871,0.37862,0.17211,1.26475,11.472,1.27554,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,234.142,1.88267,2.39616,2.07179,0.4293,0.29873,0.26527,0.09726,1.42294,11.6752,1.48353,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,310.49,1.92287,2.55853,2.15759,0.29486,0.2447,0.18508,0.072,1.51007,17.7407,1.51296,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,384.815,1.86528,2.47449,2.12393,0.54843,0.41314,0.42174,0.15763,1.32379,26.0734,1.40298,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,458.96,1.81213,2.36412,2.0548,0.46356,0.4089,0.39133,0.14502,1.40863,6.53392,1.4628,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,531.806,1.7942,2.29143,2.04017,0.60434,0.39831,0.45488,0.18444,1.32402,5.91616,1.37321,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,602.847,1.76821,2.2436,2.02568,0.56923,0.41949,0.43405,0.16686,1.39988,13.7208,1.48019,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,680.932,1.73255,2.19006,1.99333,0.59642,0.48729,0.49781,0.19476,1.35834,11.1544,1.41216,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,753.608,1.71868,2.15643,1.98985,0.60193,0.49682,0.51185,0.2068,1.3187,6.88976,1.38001,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,824.654,1.70238,2.11562,1.97183,0.61981,0.51981,0.56869,0.24758,1.21182,7.97041,1.29864,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,896.678,1.68652,2.07326,1.94609,0.71981,0.52796,0.59527,0.24712,1.30442,8.65024,1.34688,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,970.726,1.66832,2.04285,1.94098,0.71802,0.56992,0.64323,0.28761,1.26913,8.90949,1.3259,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1046.02,1.66231,2.01781,1.92856,0.69913,0.54893,0.60493,0.2722,1.22176,5.07357,1.29971,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1118.95,1.65505,1.97597,1.93177,0.76963,0.57415,0.67745,0.30169,1.23821,6.99716,1.28274,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1192.74,1.63356,1.94859,1.91002,0.65544,0.55932,0.59518,0.25688,1.22958,6.97135,1.29255,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1263.73,1.63605,1.94165,1.90852,0.72094,0.53919,0.6177,0.25639,1.26022,3.03663,1.28438,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1341.38,1.62839,1.91405,1.89377,0.72089,0.62394,0.66575,0.29555,1.24842,7.60144,1.2558,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1414.91,1.61531,1.89743,1.88652,0.77924,0.5911,0.67765,0.30976,1.20268,2.80223,1.23827,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1488.58,1.59942,1.85875,1.86765,0.78246,0.63251,0.70566,0.30614,1.22567,4.55393,1.24529,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1560.56,1.60102,1.85846,1.87492,0.77456,0.61758,0.70197,0.33242,1.10682,4.67081,1.16266,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1631.27,1.59781,1.84453,1.86033,0.80595,0.66434,0.73259,0.3323,1.17837,4.52871,1.20556,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1707.13,1.58021,1.82084,1.85389,0.76267,0.66724,0.72214,0.31409,1.25879,3.73168,1.2906,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1779.45,1.57767,1.8085,1.85634,0.74227,0.64985,0.72759,0.34047,1.18907,8.42871,1.20386,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1852.83,1.5862,1.81552,1.84791,0.83,0.65165,0.76079,0.37379,1.08833,6.134,1.12559,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1924.96,1.56533,1.78559,1.84452,0.77391,0.64936,0.73933,0.33605,1.18309,3.17728,1.19381,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2000.58,1.56125,1.76878,1.83047,0.79063,0.69915,0.76051,0.36825,1.15623,3.13348,1.1701,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
