epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.99,1.89601,2.31398,2.07733,0.62846,0.51801,0.55477,0.24267,1.21674,13.309,1.22582,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,226.15,1.72609,2.04165,1.96399,0.56493,0.47181,0.46336,0.22805,1.18621,13.1091,1.20834,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,326.525,1.79457,2.24239,2.05767,0.44887,0.35169,0.33234,0.1174,1.49429,27.1073,1.54004,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,423.405,1.83486,2.41165,2.11448,0.43444,0.39831,0.36517,0.145,1.38716,29.2941,1.51172,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,523.575,1.78512,2.32037,2.09189,0.5161,0.44068,0.44261,0.1693,1.41025,18.4906,1.4985,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,617.272,1.72432,2.20199,2.03237,0.5697,0.48623,0.47299,0.2024,1.29436,14.3946,1.41818,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,719.067,1.71208,2.12896,2.01823,0.6439,0.51143,0.55552,0.2442,1.30329,13.6488,1.42136,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,817.969,1.67915,2.06985,1.99531,0.64293,0.51801,0.5611,0.25093,1.22363,10.041,1.30797,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,913.733,1.64642,2.01336,1.96234,0.60414,0.58898,0.5955,0.25558,1.2409,9.49113,1.31583,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1013.35,1.63065,1.96105,1.95379,0.67267,0.59865,0.63221,0.29362,1.19308,11.921,1.28218,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1111.62,1.61485,1.92699,1.9446,0.73073,0.58369,0.66427,0.32303,1.15186,6.85393,1.25397,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1210.09,1.59863,1.88274,1.92128,0.76841,0.64089,0.71154,0.31519,1.22808,8.97565,1.29393,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1307.22,1.5838,1.85199,1.915,0.80999,0.61335,0.70012,0.34096,1.16825,3.14633,1.30678,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1408.59,1.56821,1.82289,1.90405,0.75542,0.64456,0.7017,0.33937,1.1918,5.27585,1.27486,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
