epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.379,1.9632,2.71727,2.13607,0.46021,0.31069,0.30163,0.12813,1.45215,33.6138,1.50571,0.000665172,0.000665172,0.000665172
2,136.64,1.8818,2.57493,2.1366,0.38945,0.24894,0.22587,0.08136,1.4528,39.2606,1.52194,0.00130547,0.00130547,0.00130547
3,198.019,1.86816,2.54597,2.12827,0.41169,0.32839,0.27296,0.10592,1.50243,13.2374,1.62368,0.00191936,0.00191936,0.00191936
4,268.245,1.81559,2.48526,2.09521,0.45118,0.32627,0.32674,0.13923,1.36911,7.57631,1.4378,0.0018812,0.0018812,0.0018812
5,333.033,1.7825,2.39786,2.07157,0.51908,0.40248,0.42974,0.18144,1.31182,19.6923,1.41538,0.0018416,0.0018416,0.0018416
6,397.702,1.75216,2.34584,2.04143,0.55476,0.45339,0.45094,0.18769,1.2582,10.2975,1.36354,0.001802,0.001802,0.001802
7,461.978,1.73545,2.28763,2.02757,0.58349,0.40042,0.43135,0.17678,1.36222,12.0039,1.47094,0.0017624,0.0017624,0.0017624
8,531.625,1.70947,2.22404,1.99918,0.55579,0.4745,0.4854,0.2099,1.23568,14.9199,1.33277,0.0017228,0.0017228,0.0017228
9,593.421,1.71013,2.20437,1.99101,0.52652,0.45763,0.42584,0.18313,1.1948,12.0839,1.28967,0.0016832,0.0016832,0.0016832
10,652.987,1.68469,2.16155,1.97482,0.61659,0.51907,0.55406,0.23462,1.28063,12.8619,1.35538,0.0016436,0.0016436,0.0016436
11,723.946,1.65896,2.13021,1.96195,0.70603,0.4783,0.55534,0.21534,1.36545,6.41033,1.39921,0.001604,0.001604,0.001604
12,789.008,1.65605,2.1006,1.9466,0.64784,0.57627,0.59068,0.24588,1.22586,9.20962,1.30676,0.0015644,0.0015644,0.0015644
13,853.48,1.65051,2.07831,1.93867,0.66257,0.49047,0.5377,0.22271,1.27886,9.24013,1.32881,0.0015248,0.0015248,0.0015248
14,918.356,1.63257,2.06036,1.92919,0.65729,0.54555,0.59155,0.25874,1.24567,10.5247,1.3456,0.0014852,0.0014852,0.0014852
15,988.961,1.62972,2.04396,1.92579,0.72377,0.57521,0.64724,0.29443,1.1527,4.64471,1.25065,0.0014456,0.0014456,0.0014456
16,1054.23,1.62282,1.99552,1.91828,0.6958,0.58151,0.6372,0.27288,1.20799,8.83737,1.27516,0.001406,0.001406,0.001406
17,1117.07,1.62073,2.00117,1.91865,0.73809,0.58511,0.6393,0.27479,1.24211,6.15688,1.29354,0.0013664,0.0013664,0.0013664
18,1183.35,1.61308,1.98367,1.90783,0.74326,0.60381,0.65696,0.29982,1.23663,6.4776,1.30193,0.0013268,0.0013268,0.0013268
19,1251.27,1.60214,1.95905,1.89575,0.7506,0.57415,0.65634,0.3039,1.17931,7.55158,1.22784,0.0012872,0.0012872,0.0012872
20,1315.4,1.58675,1.93828,1.88914,0.74745,0.59428,0.67206,0.30558,1.14939,4.66586,1.20804,0.0012476,0.0012476,0.0012476
21,1379.28,1.58848,1.92669,1.89185,0.75191,0.61323,0.68608,0.31832,1.13304,3.55557,1.19812,0.001208,0.001208,0.001208
22,1447.59,1.57745,1.90361,1.88292,0.75491,0.63877,0.70466,0.33639,1.13411,5.49169,1.21589,0.0011684,0.0011684,0.0011684
23,1511.49,1.56329,1.87787,1.86764,0.73028,0.62288,0.68091,0.31555,1.14053,6.56492,1.2066,0.0011288,0.0011288,0.0011288
24,1575.28,1.55006,1.8764,1.86382,0.79316,0.64183,0.71918,0.33587,1.14733,4.55238,1.2105,0.0010892,0.0010892,0.0010892
25,1639.39,1.55967,1.8636,1.86567,0.77329,0.65399,0.71065,0.34896,1.09935,9.80105,1.16331,0.0010496,0.0010496,0.0010496
26,1711.86,1.55938,1.8471,1.85989,0.75708,0.67691,0.73108,0.34692,1.11267,5.08173,1.18197,0.00101,0.00101,0.00101
27,1778.08,1.54587,1.82473,1.8558,0.78416,0.66843,0.72697,0.366,1.08932,4.36818,1.15689,0.0009704,0.0009704,0.0009704
28,1842.65,1.55168,1.82586,1.85727,0.80155,0.65572,0.73046,0.3494,1.16594,3.55198,1.20858,0.0009308,0.0009308,0.0009308
29,1906.85,1.53789,1.81166,1.84886,0.82891,0.66209,0.75513,0.35937,1.08862,6.67604,1.16672,0.0008912,0.0008912,0.0008912
30,1975.63,1.53077,1.78223,1.83902,0.83886,0.67691,0.7763,0.3829,1.06037,2.57244,1.12945,0.0008516,0.0008516,0.0008516
31,2040.26,1.52018,1.77727,1.8292,0.82724,0.67971,0.76183,0.39277,1.07568,4.38548,1.13463,0.000812,0.000812,0.000812
32,2102.53,1.52679,1.77416,1.83062,0.82214,0.66102,0.73741,0.36851,1.06276,3.60445,1.14374,0.0007724,0.0007724,0.0007724
33,2170.18,1.52409,1.76264,1.82155,0.8665,0.68759,0.78393,0.41197,1.02411,3.59863,1.09393,0.0007328,0.0007328,0.0007328
34,2236.12,1.52082,1.75648,1.82177,0.8343,0.67205,0.76833,0.40652,1.02856,4.62932,1.10288,0.0006932,0.0006932,0.0006932
35,2298.44,1.49947,1.7164,1.80741,0.84193,0.6822,0.76806,0.40023,1.03884,3.88019,1.09283,0.0006536,0.0006536,0.0006536
36,2359.18,1.49727,1.72614,1.81261,0.82019,0.69099,0.77857,0.42273,0.99631,3.01784,1.07139,0.000614,0.000614,0.000614
